,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
22,100,CaO,1653.6144763796674,2.815611340595657,Triclinic,P1,1,1,0.1,2.0.2,-2.934730821600001,0.2953783158999989,False,2.4878,False,False,NM,0.0,,True,Ca O,2
23,2,CaO,27.771067003632275,3.3530837486789946,Cubic,Fm-3m,225,m-3m,0.1,2.0.2,-3.2301091375000013,0.0,True,3.630100000000001,False,False,NM,0.0,0.001,False,Ca O,2
24,4,CaO,66.03495594368015,2.820285472220921,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,-3.1257847175,0.104324420000001,False,3.12,True,False,NM,0.0,3.079,True,Ca O,2
25,22,CaO10,312.47392165760584,2.126432633932468,Tetragonal,P4/mcc,124,4/mmm,0.1,2.0.2,-0.5106964795454562,0.0765960909090903,False,0.0,False,True,NM,0.0063772,,False,Ca O,2
26,22,CaO10,264.4153171063857,2.512920777574513,Tetragonal,P4/mcc,124,4/mmm,0.1,2.0.2,-0.5380144540909103,0.0492781163636362,False,0.0,False,True,FM,0.0003122,,False,Ca O,2
27,3,CaO2,41.95732831274832,2.852573007112785,Trigonal,P-3m1,164,-3m,0.1,2.0.2,-1.6590422250000014,0.4943638666666663,False,0.0,False,True,FM,1.9999944,,False,Ca O,2
28,12,CaO2,170.15566624336367,2.8135728850624235,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-1.8700522600000011,0.2833538316666661,False,0.0,False,True,FM,7.9983177,,True,Ca O,2
29,3,CaO2,42.1308803116586,2.840822249859205,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-1.872135661666668,0.2812704299999993,False,0.0,False,True,FM,2.0017403,,True,Ca O,2
30,3,CaO2,36.12744563392266,3.3128924587774558,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-2.101526656666666,0.0518794350000018,False,2.7345,False,False,NM,0.0,-3.398,False,Ca O,2
31,18,Ca(CO)4,251.16032263358636,2.011452631530477,Tetragonal,I4_1/amd,141,4/mmm,0.1,2.0.2,-1.458589901111111,0.3277514518055486,False,3.8244,False,False,NM,0.0140988,,False,Ca O C,3
32,28,Ca(CO2)2,429.0961304707105,1.9828663808356528,Monoclinic,P2/m,10,2/m,0.1,2.0.2,-1.4805036928571422,0.8162209037499952,False,0.2017,False,False,FM,1.9983198,,True,Ca O C,3
33,56,Ca(CO2)2,899.9428060718344,1.8908763657345704,Orthorhombic,Pbca,61,mmm,0.1,2.0.2,-1.6820131894642845,0.6147114071428534,False,0.0829000000000002,True,False,NM,0.0025061,,False,Ca O C,3
34,28,Ca(CO2)2,451.3602805934351,1.8850579633156488,Monoclinic,P2/m,10,2/m,0.1,2.0.2,-2.251225665714285,0.0454989308928528,False,3.1204,False,False,NM,0.0008478,,False,Ca O C,3
35,64,CaC2O5,1026.015573183287,1.865684754191744,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-1.554588260000001,0.7862883728124928,False,1.0092,True,False,NM,0.0003271,,True,Ca O C,3
36,16,CaC2O5,221.59341813098823,2.1596101867518325,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-1.7369268403125009,0.6039497924999928,False,0.608,False,False,FM,3.9994018,,True,Ca O C,3
37,64,CaC2O5,886.6913030774697,2.158836571203087,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-1.7372835910937503,0.6035930417187432,False,0.0,False,True,FM,16.0175534,,False,Ca O C,3
38,10,CaCO3,120.1538154729379,2.766424134776147,Triclinic,P-1,2,-1,0.1,2.0.2,-2.6787395740000006,0.006686683999999,False,4.8573,False,False,NM,0.0,,False,Ca O C,3
39,20,CaCO3,233.29606311051344,2.8495672886885988,Triclinic,P-1,2,-1,0.1,2.0.2,-2.682695425499999,0.002730832500001,False,5.0381,False,False,NM,0.0,,False,Ca O C,3
40,30,CaCO3,376.2607498876414,2.6502611429098164,Monoclinic,C2/c,15,2/m,0.1,2.0.2,-2.678127366333334,0.0072988916666663,False,4.9216,False,False,NM,0.0,,False,Ca O C,3
